rule_id,domain,applies_to,trigger_description,requirement_text,evidence_examples,effective_date,source_url,retrieved_at
EU-TEX-001,Textile labelling,Textile products,Product is within textile-labelling scope,Use permitted textile fibre names and provide fibre-composition information.,Bill of materials; supplier fibre declaration; final label artwork,2012-05-08,https://eur-lex.europa.eu/eli/reg/2011/1007/oj/eng,2026-07-19
EU-TEX-002,Textile labelling,Products made from multiple fibres,More than one constituent textile fibre,State fibre names and percentages by weight in descending order.,Bill of materials; fibre declaration; label artwork,2012-05-08,https://eur-lex.europa.eu/EN/legal-content/summary/textile-products-textile-fibre-names-and-labelling.html,2026-07-19
EU-TEX-003,Textile labelling,Products containing non-textile animal-origin parts,"Leather, down, horn, shell or similar component present",Indicate that the product contains non-textile parts of animal origin.,Component list; label artwork,2012-05-08,https://eur-lex.europa.eu/EN/legal-content/summary/textile-products-textile-fibre-names-and-labelling.html,2026-07-19
EU-TEX-004,Textile labelling,Products sold in an EU Member State,Product is marketed to consumers in destination country,Provide required fibre information in the official language or languages required in the destination market.,Destination-specific label artwork,2012-05-08,https://eur-lex.europa.eu/eli/reg/2011/1007/oj/eng,2026-07-19
EU-GPSR-001,Product safety,Consumer apparel,Product is placed on the EU consumer market,Maintain product-safety analysis and technical documentation based on product characteristics and foreseeable use.,Risk assessment; specifications; test reports; complaint/corrective-action process,2024-12-13,https://eur-lex.europa.eu/eli/reg/2023/988/oj/eng,2026-07-19
EU-GPSR-002,Traceability,Consumer apparel,Product is placed on the EU market,"Provide product, type, batch or other identifying information that enables traceability.",SKU; style; lot or batch identifier; manufacturing records,2024-12-13,https://eur-lex.europa.eu/eli/reg/2023/988/oj/eng,2026-07-19
EU-GPSR-003,Economic operators,Non-EU manufactured consumer apparel,Manufacturer is outside the EU,Provide manufacturer and relevant EU economic-operator contact information as required.,Manufacturer details; importer or responsible-person agreement; packaging or accompanying information,2024-12-13,https://eur-lex.europa.eu/eli/reg/2023/988/oj/eng,2026-07-19
EU-GPSR-004,Online sales,Consumer apparel offered online,Product is offered through an online listing,"Make required product identification, economic-operator and safety information available in the online offer.",Marketplace listing; product page export; responsible-operator details,2024-12-13,https://eur-lex.europa.eu/eli/reg/2023/988/oj/eng,2026-07-19
EU-REACH-043,Chemical restrictions,Dyed or printed textiles with relevant consumer contact,Dyes or prints may contain restricted azo colourants,Assess compliance with the current REACH restriction applicable to certain azo colourants and aromatic amines.,Material/colour-linked laboratory report; supplier declaration; testing scope,,https://echa.europa.eu/substances-restricted-under-reach,2026-07-19
EU-REACH-072,Chemical restrictions,Clothing and related textiles in consumer skin contact,Relevant textile or garment has skin contact,Assess applicable substance-specific limits for restricted CMR substances in textiles.,Material-specific chemical test package; supplier declaration with scope,2020-11-01,https://echa.europa.eu/substances-restricted-under-reach,2026-07-19
EU-REACH-027,Chemical restrictions,Metal parts with direct and prolonged skin contact,"Buttons, rivets, zips or snaps may have prolonged contact",Assess the applicable nickel-release restriction for the component.,Component-linked nickel-release report; plating specification,,https://echa.europa.eu/substances-restricted-under-reach,2026-07-19
EU-REACH-047,Chemical restrictions,Leather parts in skin contact,"Leather patch, label or trim contacts skin",Assess the applicable chromium VI restriction for the leather component.,Leather-component laboratory report; supplier declaration,,https://echa.europa.eu/substances-restricted-under-reach,2026-07-19
EU-REACH-051,Chemical restrictions,Plasticised components,"PVC print, badge, coating or other plasticised material is present",Assess applicable phthalate restrictions for the plasticised component.,Material formulation; component-linked test report,,https://echa.europa.eu/substances-restricted-under-reach,2026-07-19
EU-CUSTOMS-001,Classification,Apparel imported into the EU,Goods require EU customs classification,Determine the appropriate EU Combined Nomenclature or TARIC classification from product characteristics.,Product specification; construction; fibre composition; gender/age; classification memo,,https://trade.ec.europa.eu/access-to-markets/en/content/classifying-textiles,2026-07-19
EU-CUSTOMS-002,Customs measures,Apparel imported from India,Destination and product classification are known,"Retrieve current tariffs, taxes, procedures and applicable measures for the exact classification and origin.",Dated Access2Markets or TARIC query result,,https://trade.ec.europa.eu/access-to-markets/en/home,2026-07-19
EU-CUSTOMS-003,Customs documents,Commercial apparel shipment,Shipment is being prepared for customs clearance,"Ensure commercial documents contain consistent parties, quantities, values, origin and product information.",Commercial invoice; packing list; transport document,,https://trade.ec.europa.eu/access-to-markets/en/home,2026-07-19
